lat,lng,Country,Province
-31.34998696,-66.5999506,Argentina,La Rioja
-22.03003904,-63.69999841,Argentina,Salta
-22.55000731,-63.81001754,Argentina,Salta
-25.08334105,-64.18335392,Argentina,Salta
-24.6666223,-65.04996769,Argentina,Salta
-26.21665688,-65.28331262,Argentina,Tucumán
-26.7900069,-60.45001591,Argentina,Chaco
-26.51658689,-61.16658716,Argentina,Chaco
-27.58329181,-60.7166663,Argentina,Chaco
-23.90000242,-61.84998214,Argentina,Formosa
-25.33329995,-59.68331852,Argentina,Formosa
-22.47998574,-62.29998051,Argentina,Formosa
-28.12000324,-58.76998926,Argentina,Corrientes
-27.48996417,-58.80998682,Argentina,Corrientes
-32.47999551,-58.23999577,Argentina,Entre Ríos
-32.61001341,-60.17998071,Argentina,Entre Ríos
-33.15003213,-59.34000615,Argentina,Entre Ríos
-31.73332273,-60.53334416,Argentina,Entre Ríos
-33.23002724,-60.35002202,Argentina,Santa Fe
-31.25004474,-61.49997766,Argentina,Santa Fe
-26.20001707,-54.59998539,Argentina,Misiones
-30.21558592,-69.1399506,Argentina,San Juan
-43.41627887,-67.24998845,Argentina,Chubut
-42.28296303,-69.23330408,Argentina,Chubut
-42.39959674,-66.95000676,Argentina,Chubut
-35.46611815,-69.58330855,Argentina,Mendoza
-33.56618244,-69.01667647,Argentina,Mendoza
-33.46613686,-67.54999597,Argentina,Mendoza
-37.38295205,-70.26657434,Argentina,Neuquén
-38.51626788,-70.36659408,Argentina,Neuquén
-34.08956134,-59.04002446,Argentina,Ciudad de Buenos Aires
-37.1828609,-62.73331323,Argentina,Ciudad de Buenos Aires
-37.69957355,-63.16659428,Argentina,Ciudad de Buenos Aires
-37.66551878,-59.80002975,Argentina,Ciudad de Buenos Aires
-36.71622272,-56.67660283,Argentina,Ciudad de Buenos Aires
-35.184895,-59.09467228,Argentina,Ciudad de Buenos Aires
-35.56621539,-58.01662439,Argentina,Ciudad de Buenos Aires
-34.58456989,-60.95887374,Argentina,Ciudad de Buenos Aires
-34.90961465,-57.95996118,Argentina,Ciudad de Buenos Aires
-33.89959878,-60.56998275,Argentina,Ciudad de Buenos Aires
-34.57960895,-59.10999435,Argentina,Ciudad de Buenos Aires
-36.7796297,-59.86999964,Argentina,Ciudad de Buenos Aires
-39.88285114,-62.58332239,Argentina,Ciudad de Buenos Aires
-36.21625324,-65.45002079,Argentina,La Pampa
-35.65959471,-63.77001998,Argentina,La Pampa
-40.73287677,-64.93328231,Argentina,Río Negro
-40.58286009,-67.79998071,Argentina,Río Negro
-33.68958576,-65.4699679,Argentina,San Luis
-32.1796004,-64.12002446,Argentina,Córdoba
-27.64959267,-67.03328333,Argentina,Catamarca
-22.43290851,-66.16659204,Argentina,Jujuy
-24.21962116,-64.87000452,Argentina,Jujuy
-23.81954222,-64.78998356,Argentina,Jujuy
-29.16552081,-67.49999903,Argentina,La Rioja
-30.34958291,-66.3166604,Argentina,La Rioja
-23.59960732,-62.60003972,Argentina,Salta
-26.08291828,-65.96660425,Argentina,Salta
-24.89963133,-65.48330042,Argentina,Salta
-24.18293089,-66.35001754,Argentina,Salta
-28.46613198,-62.83330713,Argentina,Santiago del Estero
-28.64958331,-65.14998743,Argentina,Santiago del Estero
-25.79962807,-62.86658675,Argentina,Santiago del Estero
-25.9495414,-60.61664657,Argentina,Chaco
-27.21628579,-61.19999597,Argentina,Chaco
-24.69959186,-60.60000676,Argentina,Formosa
-29.1795768,-58.0799797,Argentina,Corrientes
-31.38957111,-58.02998275,Argentina,Entre Ríos
-30.93290648,-61.56661442,Argentina,Santa Fe
-30.78288979,-60.58328943,Argentina,Santa Fe
-29.4661743,-60.21659347,Argentina,Santa Fe
-29.13952757,-59.65001306,Argentina,Santa Fe
-33.74958209,-61.97000065,Argentina,Santa Fe
-42.90003131,-71.31661361,Argentina,Chubut
-38.90001707,-70.06666406,Argentina,Neuquén
-36.90003579,-60.3299974,Argentina,Ciudad de Buenos Aires
-37.32001015,-59.15004358,Argentina,Ciudad de Buenos Aires
-40.79995278,-63.0000153,Argentina,Ciudad de Buenos Aires
-33.29999713,-66.35001754,Argentina,San Luis
-33.13003335,-64.34998458,Argentina,Córdoba
-24.1833443,-65.30002995,Argentina,Jujuy
-23.13999713,-64.32001225,Argentina,Salta
-29.13999266,-59.26998458,Argentina,Corrientes
-49.30000242,-67.71665247,Argentina,Santa Cruz
-46.60001219,-70.93335535,Argentina,Santa Cruz
-53.79144552,-67.6989952,Argentina,Tierra del Fuego
-54.79000324,-68.31000126,Argentina,Tierra del Fuego
-45.60002155,-69.08331323,Argentina,Chubut
-34.60002114,-68.33333317,Argentina,Mendoza
-38.55998615,-58.74999048,Argentina,Ciudad de Buenos Aires
-38.96657632,-64.08328251,Argentina,La Pampa
-28.47000771,-65.78000065,Argentina,Catamarca
-29.40995034,-66.84996118,Argentina,La Rioja
